Edad,estrato,price_plan,mes,dia,venta,plan_MB,genero_label,tipo_plan_label,nombre_zone_N,nombre_zone_O,nombre_zone_S,grupo_edad_30-39,grupo_edad_40-49,grupo_edad_50-59,grupo_edad_60-69,motivo_rechazo_solicitud_Doble Solicitud,motivo_rechazo_solicitud_Errores en la Solicitud,motivo_rechazo_solicitud_Falta de Interés,motivo_rechazo_solicitud_Financiero,motivo_rechazo_solicitud_No Aplica,motivo_rechazo_solicitud_Otro,motivo_rechazo_solicitud_Tiempos y Procesos
65,2,62250.0,2,2,0,200,0,0,True,False,False,False,False,False,True,False,True,False,False,False,False,False
51,1,70549.0,2,8,0,200,0,1,False,True,False,False,False,True,False,False,False,False,True,False,False,False
55,3,79049.0,6,21,0,300,1,1,False,False,True,False,False,True,False,False,False,False,True,False,False,False
25,1,61965.0,12,20,1,250,0,1,False,True,False,False,False,False,False,False,False,False,False,True,False,False
66,4,72165.0,12,19,1,250,0,0,False,False,True,False,False,False,True,False,False,False,False,True,False,False
36,3,56249.0,4,25,1,100,1,0,False,False,True,True,False,False,False,False,False,False,False,True,False,False
64,2,70549.0,6,17,1,200,0,1,True,False,False,False,False,False,True,False,False,False,False,True,False,False
21,2,74399.0,9,1,1,300,0,1,False,True,False,False,False,False,False,False,False,False,False,True,False,False
55,3,66399.0,5,8,0,200,1,1,False,False,False,False,False,True,False,False,True,False,False,False,False,False
45,2,63749.0,4,8,1,100,0,1,True,False,False,False,True,False,False,False,False,False,False,True,False,False
38,6,70549.0,2,15,0,200,0,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False
26,2,79049.0,5,23,1,300,1,1,False,True,False,False,False,False,False,False,False,False,False,True,False,False
44,3,61965.0,7,6,0,250,0,1,False,False,True,False,True,False,False,False,False,False,True,False,False,False
62,1,63749.0,5,26,0,100,0,1,False,True,False,False,False,False,True,False,False,False,True,False,False,False
57,3,62800.0,9,23,1,350,0,0,False,False,True,False,False,True,False,False,False,False,False,True,False,False
63,2,68850.0,10,17,1,350,0,1,True,False,False,False,False,False,True,False,False,False,False,True,False,False
21,2,58565.0,10,5,1,250,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False
56,3,64800.0,12,4,1,350,0,1,False,False,True,False,False,True,False,False,False,False,False,True,False,False
66,4,76415.0,10,3,1,250,0,1,False,False,True,False,False,False,True,False,False,False,False,True,False,False
57,4,74999.0,4,3,1,100,0,1,False,False,True,False,False,True,False,False,False,False,False,True,False,False
40,1,55120.0,7,22,1,250,0,0,False,True,False,False,True,False,False,False,False,False,False,True,False,False
49,1,70549.0,3,12,0,200,0,1,False,True,False,False,True,False,False,False,False,False,True,False,False,False
46,2,61965.0,7,26,0,250,1,1,False,False,True,False,True,False,False,False,False,False,True,False,False,False
28,2,61965.0,11,14,1,250,0,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False
65,2,79049.0,3,21,1,300,0,1,False,False,True,False,False,False,True,False,False,False,False,True,False,False
34,2,70549.0,3,19,1,200,0,1,True,False,False,True,False,False,False,False,False,False,False,True,False,False
57,2,61965.0,8,9,0,250,0,1,False,False,False,False,False,True,False,False,True,False,False,False,False,False
64,4,76415.0,8,16,1,250,0,1,True,False,False,False,False,False,True,False,False,False,False,True,False,False
53,3,61965.0,8,24,1,250,0,1,False,False,True,False,False,True,False,False,False,False,False,True,False,False
46,1,63749.0,4,29,1,100,1,1,False,True,False,False,True,False,False,False,False,False,False,True,False,False
20,1,79049.0,6,7,1,300,1,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False
