is_actived,Genero,Edad,city_owner,estrato,price_plan,nombre_zone,ventas_Retiradas_causales,Retiro,motivo_rechazo_solicitud,mes,dia,venta,grupo_edad,tipo_plan,plan_MB
Orden creada,M,25,Cali,3,74399.0,S,Voluntario,SI,No Aplica,8,1,1,18-29,Internet-voz,300
Rechazado,M,53,Cali,3,59999.0,S,No Aplica,NO,Otro,8,1,0,50-59,Internet-voz,100
Orden creada,H,37,Cali,3,56249.0,O,Voluntario,SI,No Aplica,8,1,1,30-39,Internet,100
Orden creada,H,33,Cali,3,56249.0,O,No Aplica,NO,No Aplica,8,1,1,30-39,Internet,100
Orden creada,H,26,Cali,1,59999.0,O,No Aplica,NO,No Aplica,8,1,1,18-29,Internet-voz,100
Orden creada,H,45,Cali,3,56249.0,S,No Aplica,NO,No Aplica,8,2,1,40-49,Internet,100
Orden creada,H,53,Cali,2,74399.0,O,No Aplica,NO,No Aplica,8,2,1,50-59,Internet-voz,300
Orden creada,M,31,Cali,2,66399.0,O,No Aplica,NO,No Aplica,8,2,1,30-39,Internet-voz,200
Orden creada,H,29,Cali,3,74399.0,S,No Aplica,NO,No Aplica,8,2,1,18-29,Internet-voz,300
Orden creada,M,53,Cali,6,66399.0,S,No Aplica,NO,No Aplica,8,2,1,50-59,Internet-voz,200
Rechazado,H,46,Cali,3,69749.0,S,No Aplica,NO,Otro,8,2,0,40-49,Internet,300
Orden creada,M,45,Cali,4,56249.0,S,Voluntario,SI,No Aplica,8,2,1,40-49,Internet,100
Orden creada,H,27,Cali,2,59999.0,O,Cartera,SI,No Aplica,8,2,1,18-29,Internet-voz,100
Orden creada,H,66,Cali,3,59999.0,N,Voluntario,SI,No Aplica,8,2,1,60-69,Internet-voz,100
Orden creada,H,35,Cali,2,56249.0,O,Cartera,SI,No Aplica,8,2,1,30-39,Internet,100
Orden creada,H,31,Cali,3,69999.0,O,Cartera,SI,No Aplica,8,3,1,30-39,Internet-voz,80
Rechazado,H,52,Cali,4,66399.0,O,No Aplica,NO,Otro,8,3,0,50-59,Internet-voz,200
Orden creada,H,61,Cali,4,62250.0,O,Anulacion,SI,No Aplica,8,3,1,60-69,Internet,200
Rechazado,H,53,Cali,3,69999.0,O,No Aplica,NO,Otro,8,3,0,50-59,Internet-voz,80
Rechazado,H,58,Cali,3,69999.0,O,No Aplica,NO,Otro,8,3,0,50-59,Internet-voz,80
Orden creada,H,52,Cali,3,69999.0,O,No Aplica,NO,No Aplica,8,3,1,50-59,Internet-voz,80
Orden creada,H,25,Cali,2,69749.0,O,No Aplica,NO,No Aplica,8,3,1,18-29,Internet,300
Orden creada,H,45,Cali,3,56249.0,O,No Aplica,NO,No Aplica,8,4,1,40-49,Internet,100
Orden creada,H,25,Cali,1,59999.0,O,No Aplica,NO,No Aplica,8,4,1,18-29,Internet-voz,100
Orden creada,H,39,Cali,3,59999.0,O,No Aplica,NO,No Aplica,8,4,1,30-39,Internet-voz,100
Orden creada,H,44,Cali,5,69749.0,N,No Aplica,NO,No Aplica,8,4,1,40-49,Internet,300
Orden creada,H,57,Cali,3,56249.0,O,No Aplica,NO,No Aplica,8,4,1,50-59,Internet,100
Orden creada,M,60,Cali,1,69749.0,O,No Aplica,NO,No Aplica,8,4,1,60-69,Internet,300
Orden creada,H,23,Cali,2,69749.0,N,Voluntario,SI,No Aplica,8,4,1,18-29,Internet,300
Orden creada,H,40,Cali,1,66399.0,O,Voluntario,SI,No Aplica,8,4,1,40-49,Internet-voz,200
Orden creada,H,49,Cali,1,74399.0,O,Cartera,SI,No Aplica,8,5,1,40-49,Internet-voz,300
Orden creada,H,58,Cali,4,62250.0,O,No Aplica,NO,No Aplica,8,5,1,50-59,Internet,200
Orden creada,H,21,Cali,2,56249.0,O,Cartera,SI,No Aplica,8,5,1,18-29,Internet,100
