is_actived,Genero,Edad,city_owner,estrato,plan,id_plan,price_plan,user_creation_id,cdo,plan_type,ventas_Retiradas_causales,Retiro,id_comuna,Comuna,duracion_contrato,dia_semana_num,mes
Orden creada,M,23,Cali,1,DPL BA 500MB+VOZ ILIM-24,1282,107100.0,15965,0013S8198,Dupla,No Aplica,NO,14,Comuna 14,244,1,7
Orden creada,H,61,Cali,5,INTERNET 350MB 24,1278,77520.0,15957,0017S10146,Internet,No Aplica,NO,17,Comuna 17,244,1,7
Orden creada,M,34,Cali,5,DPL BA 500MB+VOZ ILIM-24,1282,131750.0,9317,0029S4853,Dupla,No Aplica,NO,2,Comuna 02,244,1,7
Orden creada,H,36,Cali,3,INTERNET 250MB 24,1279,58565.0,15968,0019S4848,Internet,No Aplica,NO,4,Comuna 04,244,1,7
Orden creada,H,37,Cali,6,DPL BA 500MB+VOZ ILIM-24,1282,131750.0,15969,0016S0736,Dupla,No Aplica,NO,22,Comuna 22,244,1,7
Orden creada,M,42,Cali,2,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,15971,0013S1749,Dupla,No Aplica,NO,16,Comuna 16,244,1,7
Orden creada,H,31,Cali,3,INTERNET 250MB 24,1279,58565.0,15972,0019S4814,Internet,No Aplica,NO,4,Comuna 04,244,1,7
Orden creada,H,62,Cali,1,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,15973,0013S10769,Dupla,No Aplica,NO,21,Comuna 21,244,1,7
Orden creada,H,29,Cali,3,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,15975,0019S2951,Dupla,No Aplica,NO,5,Comuna 05,244,1,7
Orden creada,H,21,Cali,2,DPL BA 350MB+VOZ ILIM-24,1281,64800.0,15974,0013S5807,Dupla,Voluntario,SI,13,Comuna 13,233,1,7
Orden creada,M,44,Cali,1,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,15976,0013S7911,Dupla,No Aplica,NO,14,Comuna 14,244,1,7
Orden creada,H,18,Jamundi,3,DPL BA 350MB+VOZ ILIM-24,1281,68850.0,15977,0004S0666,Dupla,No Aplica,NO,44,Comuna NR,244,1,7
Orden creada,H,27,Cali,4,DPL BA 250MB+VOZ ILIM-24,1280,76415.0,15978,0029S3094,Dupla,No Aplica,NO,19,Comuna 19,244,1,7
Orden creada,H,35,Cali,4,INTERNET 250MB 24,1279,67920.0,15981,0017S3211,Internet,No Aplica,NO,17,Comuna 17,244,1,7
Orden creada,M,49,Cali,2,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,15984,0005S1102,Dupla,No Aplica,NO,4,Comuna 04,244,1,7
Orden creada,M,32,Cali,1,DPL BA 350MB+VOZ ILIM-24,1281,68850.0,15862,0013S8257,Dupla,No Aplica,NO,14,Comuna 14,244,1,7
Orden creada,H,28,Cali,3,INTERNET 250MB 24,1279,55120.0,9581,0005S3765,Internet,No Aplica,NO,8,Comuna 08,244,1,7
Anulado,H,20,Cali,1,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,15985,0013S10741,Dupla,No Aplica,NO,21,Comuna 21,244,1,7
Orden creada,H,59,Cali,1,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,15987,0013S8224,Dupla,No Aplica,NO,14,Comuna 14,244,1,7
Orden creada,M,21,Jamundi,4,DPL BA 250MB+VOZ ILIM-24,1280,76415.0,15988,0004S0441,Dupla,No Aplica,NO,44,Comuna NR,244,1,7
Orden creada,H,39,Cali,1,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,15989,0013S7876,Dupla,No Aplica,NO,14,Comuna 14,244,1,7
Orden creada,H,20,Cali,6,DPL BA 500MB+VOZ ILIM-24,1282,131750.0,15990,0029S4880,Dupla,No Aplica,NO,2,Comuna 02,244,1,7
Anulado,M,63,Cali,1,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,15991,0013S8282,Dupla,No Aplica,NO,14,Comuna 14,244,1,7
Orden creada,H,24,Cali,3,DPL BA 350MB+VOZ ILIM-24,1281,68850.0,15992,0005S0575,Dupla,No Aplica,NO,7,Comuna 07,244,1,7
Rechazado,H,65,Cali,1,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,15993,0013S8294,Dupla,No Aplica,NO,14,Comuna 14,244,1,7
Orden creada,H,20,Cali,1,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,15994,0013S8294,Dupla,No Aplica,NO,14,Comuna 14,244,1,7
Orden creada,H,28,Cali,1,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,15996,0013S8260,Dupla,No Aplica,NO,14,Comuna 14,244,1,7
Orden creada,H,66,Cali,3,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,15997,0017S5154,Dupla,No Aplica,NO,18,Comuna 18,244,1,7
Orden creada,H,18,Cali,2,INTERNET 350MB 24,1278,62800.0,15995,0001S0842,Internet,No Aplica,NO,9,Comuna 09,244,1,7
Orden creada,H,32,Cali,3,INTERNET 250MB 24,1279,55120.0,15983,0005S2321,Internet,No Aplica,NO,8,Comuna 08,244,1,7
